code,name,short_name,logo_url
VCB,Ngân hàng TMCP Ngoại thương Việt Nam,Vietcombank,/static/logo/vietcombank.png
TCB,Ngân hàng TMCP Kỹ thương Việt Nam,Techcombank,/static/logo/techcombank.png
MB,Ngân hàng TMCP Quân đội,MB Bank,/static/logo/mbbank.png
BIDV,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDV,/static/logo/bidv.png
CTG,Ngân hàng TMCP Công Thương Việt Nam,VietinBank,/static/logo/viettinbank.png
ACB,Ngân hàng TMCP Á Châu,ACB,/static/logo/acb.png
TPB,Ngân hàng TMCP Tiên Phong,TPBank,/static/logo/tpbank.png
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,VPBank,/static/logo/vpbank.png
HDB,Ngân hàng TMCP Phát triển TP.HCM,HDBank,/static/logo/hdbank.png
OCB,Ngân hàng TMCP Phương Đông,OCB,/static/logo/ocb.png
SCB,Ngân hàng TMCP Sài Gòn,SCB,/static/logo/scb.png
SHB,Ngân hàng TMCP Sài Gòn – Hà Nội,SHB,/static/logo/shb.png
VIB,Ngân hàng TMCP Quốc tế Việt Nam,VIB,/static/logo/vib.png
ABB,Ngân hàng TMCP An Bình,ABBANK,/static/logo/abbank.png
BAOVIET,Ngân hàng TMCP Bảo Việt,BaoVietBank,/static/logo/baovietbank.png
AGRIBANK,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Agribank,/static/logo/agribank.png
KIENLONG,Ngân hàng TMCP Kiên Long,KienlongBank,/static/logo/kienlongbank.png
NAMABANK,Ngân hàng TMCP Nam Á,NamABank,/static/logo/namabank.png
SACOMBANK,Ngân hàng TMCP Sài Gòn Thương Tín,Sacombank,/static/logo/sacombank.png
SAIGONBANK,Ngân hàng TMCP Sài Gòn Công Thương,Saigonbank,/static/logo/saigonbank.png
SEABANK,Ngân hàng TMCP Đông Nam Á,SeABank,/static/logo/seabank.png
PVCOMBANK,Ngân hàng TMCP Đại Chúng Việt Nam,PVcomBank,/static/logo/pvcombank.png
BACABANK,Ngân hàng TMCP Bắc Á,BacABank,/static/logo/bacabank.png
EXIMBANK,Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam,Eximbank,/static/logo/eximbank.png
UOB,Ngân hàng TNHH MTV UOB Việt Nam,UOB,/static/logo/uob.png
HSBC,Ngân hàng TNHH MTV HSBC Việt Nam,HSBC,/static/logo/hsbc.png
VDB,Ngân hàng Phát triển Việt Nam,VDB,/static/logo/vdb.png
VIETABANK,Ngân hàng TMCP Việt Á,VietABank,/static/logo/vietabank.png
WOORI,Ngân hàng TNHH MTV Woori Việt Nam,Woori Bank,/static/logo/woori.png
